experiment simulation item wn word enctime ecc freq1
STAUB10 16 ORC 1 "the" 16 1.487 .00370
STAUB10 16 ORC 2 "employees" 59 3.822 .00370
STAUB10 16 ORC 3 "who" 25 2.803 .00370
STAUB10 16 ORC 4 "the" 25 1.863 .00370
STAUB10 16 ORC 5 "fireman" 25 2.093 .00370
STAUB10 16 ORC 6 "noticed" 35 2.813 .00370
STAUB10 16 ORC 3 "who" 36 3.025 .00370
STAUB10 16 ORC 4 "the" 18 0.941 .00370
STAUB10 16 ORC 5 "fireman" 18 1.929 .00370
STAUB10 16 ORC 6 "noticed" 33 2.860 .00370
STAUB10 16 ORC 7 "hurried" 56 3.363 .00370
STAUB10 16 ORC 8 "to" 33 2.364 .00370
STAUB10 16 ORC 9 "the" 29 3.153 .00370
STAUB10 16 ORC 10 "clinic" 77 5.579 .00370
STAUB10 16 ORC 11 "*" 152 6.523 .00370
STAUB10 17 SRC 1 "the" 16 1.663 .00370
STAUB10 17 SRC 2 "employees" 22 2.444 .00370
STAUB10 17 SRC 3 "who" 28 2.512 .00370
STAUB10 17 SRC 4 "noticed" 34 2.141 .00370
STAUB10 17 SRC 5 "the" 77 5.260 .00370
STAUB10 17 SRC 6 "fireman" 23 1.477 .00370
STAUB10 17 SRC 7 "hurried" 27 2.611 .00370
STAUB10 17 SRC 8 "to" 22 2.588 .00370
STAUB10 17 SRC 9 "the" 63 3.826 .00370
STAUB10 17 SRC 10 "clinic" 20 2.248 .00370
STAUB10 17 SRC 11 "*" 28 1.591 .00370
STAUB10 17 ORC 1 "the" 23 1.637 .00370
STAUB10 17 ORC 2 "employees" 33 2.192 .00370
STAUB10 17 ORC 3 "who" 25 2.915 .00370
STAUB10 17 ORC 4 "the" 29 1.724 .00370
STAUB10 17 ORC 1 "the" 232 7.589 .00370
STAUB10 17 ORC 1 "the" 24 1.165 .00370
STAUB10 17 ORC 2 "employees" 49 3.048 .00370
STAUB10 17 ORC 3 "who" 32 2.825 .00370
STAUB10 17 ORC 4 "the" 25 1.942 .00370
STAUB10 17 ORC 5 "fireman" 27 2.398 .00370
STAUB10 17 ORC 6 "noticed" 34 2.294 .00370
STAUB10 17 ORC 7 "hurried" 55 3.454 .00370
STAUB10 17 ORC 8 "to" 79 5.022 .00370
STAUB10 17 ORC 9 "the" 20 1.729 .00370
STAUB10 17 ORC 10 "clinic" 30 1.934 .00370
STAUB10 17 ORC 11 "*" 21 1.662 .00370
STAUB10 18 SRC 1 "the" 28 1.867 .00370
STAUB10 18 SRC 2 "employees" 26 2.015 .00370
STAUB10 18 SRC 3 "who" 25 2.549 .00370
STAUB10 18 SRC 4 "noticed" 34 3.121 .00370
STAUB10 18 SRC 5 "the" 24 1.700 .00370
STAUB10 18 SRC 6 "fireman" 37 2.373 .00370
STAUB10 18 SRC 7 "hurried" 55 3.431 .00370
STAUB10 18 SRC 8 "to" 25 1.570 .00370
STAUB10 18 SRC 9 "the" 17 1.097 .00370
STAUB10 18 SRC 10 "clinic" 36 2.268 .00370
STAUB10 18 SRC 11 "*" 16 1.730 .00370
STAUB10 18 ORC 1 "the" 21 1.776 .00370
STAUB10 18 ORC 2 "employees" 27 2.542 .00370
STAUB10 18 ORC 3 "who" 25 2.539 .00370
STAUB10 18 ORC 4 "the" 27 1.668 .00370
STAUB10 18 ORC 3 "who" 20 1.357 .00370
STAUB10 18 ORC 4 "the" 17 1.300 .00370
STAUB10 18 ORC 5 "fireman" 40 2.504 .00370
STAUB10 18 ORC 6 "noticed" 40 2.872 .00370
STAUB10 18 ORC 7 "hurried" 33 3.058 .00370
STAUB10 18 ORC 8 "to" 46 4.430 .00370
STAUB10 18 ORC 9 "the" 27 1.675 .00370
STAUB10 18 ORC 10 "clinic" 22 2.123 .00370
STAUB10 18 ORC 11 "*" 18 1.869 .00370
STAUB10 19 SRC 1 "the" 19 1.672 .00370
STAUB10 19 SRC 2 "employees" 39 2.433 .00370
STAUB10 19 SRC 3 "who" 36 2.923 .00370
STAUB10 19 SRC 4 "noticed" 19 1.780 .00370
STAUB10 19 SRC 5 "the" 61 3.833 .00370
STAUB10 19 SRC 6 "fireman" 36 2.390 .00370
STAUB10 19 SRC 7 "hurried" 47 3.126 .00370
STAUB10 19 SRC 8 "to" 34 2.504 .00370
STAUB10 19 SRC 9 "the" 24 1.358 .00370
STAUB10 19 SRC 10 "clinic" 16 1.862 .00370
STAUB10 19 SRC 11 "*" 24 1.591 .00370
STAUB10 19 ORC 1 "the" 23 1.490 .00370
STAUB10 19 ORC 2 "employees" 19 2.098 .00370
STAUB10 19 ORC 3 "who" 51 3.514 .00370
STAUB10 19 ORC 4 "the" 21 1.074 .00370
STAUB10 19 ORC 3 "who" 21 1.355 .00370
STAUB10 19 ORC 4 "the" 15 1.465 .00370
STAUB10 19 ORC 5 "fireman" 31 2.075 .00370
STAUB10 19 ORC 6 "noticed" 34 2.647 .00370
STAUB10 19 ORC 7 "hurried" 26 2.929 .00370
STAUB10 19 ORC 8 "to" 27 2.610 .00370
STAUB10 19 ORC 9 "the" 16 1.066 .00370
STAUB10 19 ORC 10 "clinic" 29 2.645 .00370
STAUB10 19 ORC 11 "*" 24 1.491 .00370
STAUB10 20 SRC 1 "the" 25 1.475 .00370
STAUB10 20 SRC 2 "employees" 34 3.000 .00370
STAUB10 20 SRC 3 "who" 52 4.382 .00370
STAUB10 20 SRC 4 "noticed" 28 3.039 .00370
STAUB10 20 SRC 5 "the" 30 2.370 .00370
STAUB10 20 SRC 6 "fireman" 31 1.948 .00370
STAUB10 20 SRC 7 "hurried" 42 3.207 .00370
STAUB10 20 SRC 8 "to" 24 1.864 .00370
STAUB10 20 SRC 9 "the" 30 3.326 .00370
STAUB10 20 SRC 10 "clinic" 34 2.136 .00370
STAUB10 20 SRC 11 "*" 22 1.697 .00370
STAUB10 20 ORC 1 "the" 20 1.523 .00370
