"item" "roi" "word" "frequency" "freq.class" "len" "predictability" "target"
46 4 "ran" 134 3 3 0 "0"
46 5 "in" 21335 5 2 0 "0"
46 6 "the" 69974 5 3 0.65 "0"
46 7 "blizzard" 7 1 8 0 "0"
46 8 "an" 3727 4 2 0 "1"
46 9 "icicle" 1 1 6 0.05 "0"
46 10 "formed" 76 2 6 0.05 "0"
46 11 "on" 6740 4 2 0.9 "0"
46 12 "his" 6994 4 3 0.85 "0"
46 13 "beard" 26 2 5 0.1 "0"
47 1 "the" 69974 5 3 0 "0"
47 2 "clumsy" 6 1 6 0 "0"
47 3 "assistant" 36 2 9 0 "0"
47 4 "dropped" 101 3 7 0.45 "0"
47 5 "a" 23127 5 1 0.1 "1"
47 6 "beaker" 2 1 6 0.15 "0"
47 7 "and" 28850 5 3 0.5 "0"
47 8 "it" 8761 4 2 0.15 "0"
47 9 "shattered" 13 2 9 0.05 "0"
47 10 "on" 6740 4 2 0.4 "0"
47 11 "the" 69974 5 3 0.95 "0"
47 12 "floor" 158 3 5 0.9 "0"
48 1 "when" 2333 4 4 0 "0"
48 2 "als" 2 1 3 0 "1"
48 3 "retina" 1 1 6 0 "0"
48 4 "became" 246 3 6 0.05 "0"
48 5 "inflamed" 1 1 8 0.2 "0"
48 6 "and" 28850 5 3 0.1 "0"
48 7 "sore" 10 1 4 0.05 "0"
48 8 "he" 9547 4 2 1 "0"
48 9 "visited" 41 2 7 0 "0"
48 10 "the" 69974 5 3 0.85 "0"
48 11 "eye" 122 3 3 0.1 "0"
48 12 "doctor" 100 2 6 0.9 "0"
